State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,Los Angeles,6,37,01-01-1980,159,Unhealthy,CO,06-037-1301,14
California,Los Angeles,6,37,02-01-1980,120,Unhealthy for Sensitive Groups,CO,06-037-1301,14
California,Los Angeles,6,37,03-01-1980,114,Unhealthy for Sensitive Groups,NO2,06-037-1201,14
California,Los Angeles,6,37,04-01-1980,159,Unhealthy,CO,06-037-1201,14
California,Los Angeles,6,37,05-01-1980,142,Unhealthy for Sensitive Groups,CO,06-037-1002,14
California,Los Angeles,6,37,06-01-1980,125,Unhealthy for Sensitive Groups,CO,06-037-1002,14
California,Los Angeles,6,37,07-01-1980,105,Unhealthy for Sensitive Groups,NO2,06-037-1201,14
California,Los Angeles,6,37,08-01-1980,89,Moderate,NO2,06-037-2401,14
California,Los Angeles,6,37,09-01-1980,79,Moderate,NO2,06-037-1105,14
California,Los Angeles,6,37,10-01-1980,68,Moderate,NO2,06-037-2401,14
California,Los Angeles,6,37,11-01-1980,68,Moderate,NO2,06-037-1701,14
California,Los Angeles,6,37,12-01-1980,40,Good,CO,06-037-8001,14
California,Los Angeles,6,37,13-01-1980,43,Good,CO,06-037-1201,14
California,Los Angeles,6,37,14-01-1980,47,Good,NO2,06-037-2401,14
California,Los Angeles,6,37,15-01-1980,68,Moderate,NO2,06-037-2401,12
California,Los Angeles,6,37,16-01-1980,89,Moderate,NO2,06-037-1105,12
California,Los Angeles,6,37,17-01-1980,89,Moderate,NO2,06-037-2401,12
California,Los Angeles,6,37,18-01-1980,57,Moderate,NO2,06-037-2401,12
California,Los Angeles,6,37,19-01-1980,100,Moderate,NO2,06-037-2401,12
California,Los Angeles,6,37,20-01-1980,123,Unhealthy for Sensitive Groups,CO,06-037-1301,12
California,Los Angeles,6,37,21-01-1980,138,Unhealthy for Sensitive Groups,CO,06-037-8001,14
California,Los Angeles,6,37,22-01-1980,116,Unhealthy for Sensitive Groups,NO2,06-037-1105,14
California,Los Angeles,6,37,23-01-1980,135,Unhealthy for Sensitive Groups,CO,06-037-1002,14
California,Los Angeles,6,37,24-01-1980,193,Unhealthy,CO,06-037-8001,14
California,Los Angeles,6,37,25-01-1980,168,Unhealthy,CO,06-037-1002,14
California,Los Angeles,6,37,26-01-1980,79,Moderate,NO2,06-037-2401,14
California,Los Angeles,6,37,27-01-1980,79,Moderate,NO2,06-037-1105,14
California,Los Angeles,6,37,28-01-1980,89,Moderate,NO2,06-037-1105,14
California,Los Angeles,6,37,29-01-1980,89,Moderate,NO2,06-037-2401,14
California,Los Angeles,6,37,30-01-1980,100,Moderate,NO2,06-037-1002,14
California,Los Angeles,6,37,31-01-1980,106,Unhealthy for Sensitive Groups,NO2,06-037-4002,14
California,Los Angeles,6,37,01-02-1980,105,Unhealthy for Sensitive Groups,NO2,06-037-1002,14
California,Los Angeles,6,37,02-02-1980,123,Unhealthy for Sensitive Groups,CO,06-037-2401,14
California,Los Angeles,6,37,03-02-1980,120,Unhealthy for Sensitive Groups,NO2,06-037-4002,14
California,Los Angeles,6,37,04-02-1980,206,Very Unhealthy,Ozone,06-037-1601,14
California,Los Angeles,6,37,05-02-1980,170,Unhealthy,NO2,06-037-2401,14
California,Los Angeles,6,37,06-02-1980,142,Unhealthy for Sensitive Groups,CO,06-037-1002,14
California,Los Angeles,6,37,07-02-1980,103,Unhealthy for Sensitive Groups,NO2,06-037-2401,14
California,Los Angeles,6,37,08-02-1980,103,Unhealthy for Sensitive Groups,NO2,06-037-1103,14
California,Los Angeles,6,37,09-02-1980,158,Unhealthy,CO,06-037-8001,14
California,Los Angeles,6,37,10-02-1980,110,Unhealthy for Sensitive Groups,NO2,06-037-4002,14
